Subject,Start Date,Start Time,End Date,End Time
"ЛЕКЦИЯ: Анализ данных в международном бизнесе, доц. Карпов А.Л.",09/14/2023,15:00,09/14/2023,16:35
"ЛЕКЦИЯ: Анализ данных в международном бизнесе, доц. Карпов А.Л.",09/14/2023,16:45,09/14/2023,18:20
"ЛЕКЦИЯ: Конъюнктура мировых товарных рынков, доц. Карпов А.Л.",09/16/2023,11:30,09/16/2023,13:05
"ЛЕКЦИЯ: Конъюнктура мировых товарных рынков, доц. Карпов А.Л.",09/16/2023,13:15,09/16/2023,14:50
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/18/2023,15:00,09/18/2023,16:35
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/18/2023,16:45,09/18/2023,18:20
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/19/2023,15:00,09/19/2023,16:35
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/19/2023,16:45,09/19/2023,18:20
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/20/2023,15:00,09/20/2023,16:35
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/20/2023,16:45,09/20/2023,18:20
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/22/2023,15:00,09/22/2023,16:35
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/22/2023,16:45,09/22/2023,18:20
"ПРАКТИКА: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/23/2023,9:45,09/23/2023,11:20
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/25/2023,15:00,09/25/2023,16:35
"ЛЕКЦИЯ: Экономический анализ (продвинутый уровень), доц. Свердлина Е.Б.",09/25/2023,16:45,09/25/2023,18:20
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/26/2023,15:00,09/26/2023,16:35
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/26/2023,16:45,09/26/2023,18:20
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,09/29/2023,16:45,09/29/2023,18:20
"ПРАКТИКА: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",09/30/2023,7:30,09/30/2023,9:05
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,10/02/2023,16:45,10/02/2023,18:20
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",10/03/2023,15:00,10/03/2023,16:35
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",10/03/2023,16:45,10/03/2023,18:20
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,10/04/2023,16:45,10/04/2023,18:20
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,10/05/2023,16:45,10/05/2023,18:20
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,10/06/2023,16:45,10/06/2023,18:20
"ПРАКТИКА: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",10/07/2023,5:45,10/07/2023,7:20
УЧЕБНАЯ ПРАКТИКА: ознакомительная практика,10/09/2023,16:45,10/09/2023,18:20
"ЛЕКЦИЯ: ВЭД предприятия в современных условиях, доц. Пузина Н.В.",10/10/2023,15:00,10/10/2023,16:35
